IRI_KEY,Month,Region,Low_Income,High_Income,Price.Campbell,Price.PL,Price.Progresso,Sales.Progresso,Category_Sales
235795,7,East,0,0,1.31,1.023,1.237,288.645,1596.9407
263584,2,East,1,0,1.292,1.168,1.653,465.067,2919.568
684023,3,East,0,0,1.586,1.141,2.178,2422.292,9462.8927
532925,2,MidWest,0,0,1.178,0.975,1.829,533.852,8540.6597
237976,4,East,0,0,1.888,1.106,2.439,1051.229,5653.3402
240042,4,South,0,0,1.148,0.969,1.641,47.032,2506.0615
274473,11,South,0,1,1.487,0.949,1.697,860.362,5661.6899
272725,7,West,0,1,1.688,1.49,1.549,805.819,3492.6729
279734,1,South,0,0,1.578,1.101,1.105,1000.356,3373.8026
293225,11,South,1,0,1.29,0.955,1.873,217.567,6535.3113
260829,10,MidWest,1,0,1.12,1.117,2.087,75.781,2974.653
241995,12,West,0,0,1.577,1.177,1.528,1216.551,7183.3927
680725,9,East,0,1,1.341,1.29,1.408,2456.066,5290.5099
243496,12,South,0,0,0.875,1.027,1.677,105.889,2389.5924
280314,9,West,1,0,1.1,0.723,1.467,866.992,18289.5481
241977,1,East,0,1,1.231,1.082,0.894,8731.677,16498.1539
249779,8,South,1,0,1.299,1.12,1.845,1170.253,6880.9294
238131,8,West,0,0,1.838,1.249,1.756,376.673,1510.0992
1130103,11,MidWest,0,0,1.41,1.137,1.42,553.401,2804.131
263584,4,East,1,0,1.522,1.19,2.025,227.423,1940.3241
237824,12,West,0,1,1.058,1.451,1.954,784.508,5757.9745
275111,9,South,0,0,1.23,0.903,1.641,422.331,5499.4626
261782,1,MidWest,0,0,1.458,1.054,1.517,810.808,9179.7755
237107,2,West,0,1,1.143,1.053,1.181,1204.927,6752.2925
266349,10,MidWest,0,0,1.463,1.085,1.313,4544.462,8535.758
240008,5,South,0,1,1.42,1.126,1.834,551.16,3032.8454
241260,11,East,0,0,1.637,1.255,1.347,3351.898,5797.6222
222320,3,East,0,0,1.615,1.231,1.109,3754.641,6473.7607
680784,2,South,0,0,1.484,0.991,1.528,1400.208,6791.1471
239248,6,South,0,0,1.445,1.106,1.782,191.134,2299.7228
256895,6,South,0,0,1.257,1.063,1.939,69.027,1148.5322
266628,4,West,1,0,1.476,1.098,1.583,554.937,2293.9658
213133,3,South,0,1,1.371,1.251,1.219,3207.262,7235.5456
224396,8,East,0,0,1.45,1.122,1.774,170.125,1153.0013
649460,7,South,1,0,1.462,1.582,1.552,391.923,2226.9078
280865,5,South,1,0,1.432,1.073,1.673,131.77,1783.5533
209225,9,West,1,0,1.549,1.23,2.219,28.063,619.7832
260505,11,East,0,1,1.84,2.343,1.874,645.721,2168.6583
271962,2,East,0,1,1.42,1.224,1.147,8817.094,15485.2819
283383,4,East,0,0,1.314,1.027,1.602,1088.448,7279.7542
268331,12,South,0,0,1.378,1.044,1.13,2112.517,4618.3182
277620,8,East,0,0,1.385,1.035,1.489,884.071,4508.8973
279568,3,East,0,1,1.731,0.951,1.271,4401.736,7486.1419
265932,2,South,0,0,1.446,1.11,1.863,277.377,2844.8606
651411,3,South,1,0,1.535,0.949,1.49,140.163,1344.3883
659126,4,MidWest,0,0,1.13,1.063,1.843,127.22,2236.4326
242564,6,East,0,0,1.256,0.87,1.558,796.193,4775.0192
294261,1,MidWest,0,0,1.072,0.981,1.558,270.691,5331.0576
259693,2,MidWest,0,1,1.199,1.086,1.365,1899.715,8122.3032
238022,7,MidWest,1,0,1.692,1.066,2.333,174.02,4313.4374
259499,5,West,0,0,1.469,1.056,2.137,213.471,4001.2356
685797,8,South,0,0,1.581,0.978,1.62,958.5,2829.2474
537040,8,MidWest,0,0,1.4,1.056,2.083,174.077,4736.0411
236343,8,East,0,0,1.587,1.128,1.746,892.38,2290.0382
227598,1,MidWest,0,1,1.222,0.796,1.632,1849.931,11797.7222
293601,8,West,0,1,1.611,1.624,2.405,285.496,1938.0729
533862,2,MidWest,0,0,1.226,1.053,1.433,855.544,9626.8607
236778,10,South,0,1,1.564,1.085,1.231,3271.07,6626.1032
250584,6,West,0,0,1.733,1.198,2.033,174.272,1301.9226
680784,3,South,0,0,1.383,1.008,1.747,510.824,4850.5995
